molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL3192020,Cc1cc(N/N=C/c2ccccc2O)nc(-c2ccccc2O)n1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,76600,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
CHEMBL1346719,CC(=O)NC(SC(=S)N(CC(C)C)CC(C)C)C(Cl)(Cl)Cl,Mitochondrial import inner membrane translocase subunit TIM10,IC50,65900,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
CHEMBL1339811,COc1ccc(CCNC(=O)NC23CC4CC(CC(C4)C2)C3)cc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,51000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
CHEMBL1516876,CN(C)S(=O)(=O)c1cccc(NC(=O)COc2cccc3ccccc23)c1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,100000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
CHEMBL1376120,Cc1nn(-c2ccccc2)c(Cl)c1C(=O)N1CCN(c2ncnc3c2cnn3-c2ccccc2)CC1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,100000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
CHEMBL1440844,O=[N+]([O-])/C(C(Cl)=C(Cl)Cl)=C(\Sc1ccccc1)N1CCCCC1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,53050,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
CHEMBL1516774,CN(c1ccccc1)C1CCCCC1NS(=O)(=O)c1ccc(Cl)cc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,65400,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
CHEMBL1572666,O=C(Nc1ccccc1Br)C1CC(=O)N(c2ccc3c4c(cccc24)CC3)C1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,77700,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
CHEMBL1416292,CC(C)(C)c1ccc(C(=O)c2c[nH]nc2-c2ccccc2O)cc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,52000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
CHEMBL3197578,CO/N=C/c1ccc(Sc2ccccc2N)c([N+](=O)[O-])c1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,56400,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim10-1 yeast via a luminescent assay. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463190, AID463194, AID504542, AID504544]",inactive,CHEMBL1737860
